"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1123","CT06 - Ordenar produtos de Z a A","Produto","2026-06-12","passed","2026-06-12","","","",""
"","1557","CT01 - Login com credenciais válidas (positivo)","Login","2026-06-12","passed","2026-06-12","","","",""
"","889","CT07 - Ordenar produtos do mais barato ao mais caro","Produto","2026-06-12","passed","2026-06-12","","","",""
"","767","CT09 - Adicionar um produto no carrinho","Produto","2026-06-12","passed","2026-06-12","","","",""
"","159","CT04 - Login com campos vazios (negativo)","Login","2026-06-12","passed","2026-06-12","","","",""
"","845","CT10 - Remover um produto do carrinho","Produto","2026-06-12","passed","2026-06-12","","","",""
"","866","CT02 - Login com usuário inválido (negativo)","Login","2026-06-12","passed","2026-06-12","","","",""
"","1160","CT05 - Realizar logout após login bem-sucedido","Login","2026-06-12","passed","2026-06-12","","","",""
"","829","CT08 - Ordenar produtos do mais alto ao mais barato","Produto","2026-06-12","passed","2026-06-12","","","",""
"","731","CT03 - Login com senha inválida (negativo)","Login","2026-06-12","passed","2026-06-12","","","",""
